Control_3H_1	Control_3H_2	Control_3H_3	Control_9H_1	Control_9H_2	Control_9H_3	Control_27H_1	Control_27H_2	Control_27H_3	Cold_3H_1	Cold_3H_2	Cold_3H_3	Cold_9H_1	Cold_9H_2	Cold_9H_3	Cold_27H_1	Cold_27H_2	Cold_27H_3	Heat_3H_1	Heat_3H_2	Heat_3H_3	Heat_9H_1	Heat_9H_2	Heat_9H_3	Heat_27H_1	Heat_27H_2	Heat_27H_3	Salt_3H_1	Salt_3H_2	Salt_3H_3	Salt_9H_1	Salt_9H_2	Salt_9H_3	Salt_27H_1	Salt_27H_2	Salt_27H_3
STMEN69	0.183678157	NA	0.590645461	0.476172506	0.147019686	0.048141494	0.018475443	0.413644264	0.777061	1.23397398	0.540000726	0.915553663	NA	0.389532503	NA	-0.175930552	0.228905728	0.292371951	0.667424661	0.309597293	0.669354688	0.769195339	-0.05048977	0.096908031	-0.26177496	0.026900003	0.190854022	0.444302094	0.443093784	1.102704784	0.716428663	0.470026734	0.789461093	0.401710799	0.411243926	0.443696263
STMIU07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.387023123	NA	NA	NA	NA	NA	NA	NA	NA	0.204358499	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
STMIO15	NA	0.119202707	NA	NA	-0.018118857	-0.11949028	NA	-0.073869897	NA	NA	NA	NA	NA	0.087462841	NA	NA	0.165656096	NA	NA	0.085807154	NA	NA	0.012157614	NA	NA	-0.571396371	0.091553938	NA	-0.504751621	NA	NA	0.34339483	NA	NA	-0.432696166	NA
STMJF27	NA	NA	-0.082376528	-0.02501846	-0.073184347	NA	0.194816177	-0.239727032	-0.062021727	-0.674789321	-0.520473774	-0.159074123	-0.351711564	-0.048313938	-0.2529013	-0.318682435	-0.118132892	-0.040434864	NA	0.259454516	-0.019808481	NA	NA	NA	0.225447038	0.249259027	-0.099175405	NA	-0.025686644	-0.179775711	-1.50284388	0.043068722	-0.129896075	0.485426827	0.655196038	-0.062309902
STMIB60	0.096255202	-0.04086902	-0.098813016	0.125166519	-0.344961703	-0.333320963	0.135072112	-0.059522177	-0.228991159	-0.625528924	0.077642603	-0.171090816	-0.151073736	-0.047337722	0.007823745	0.287000658	0.188908939	0.191970606	-0.528028572	-0.408805546	-0.276561944	-0.272169663	-0.481615988	-0.420173012	-0.430265887	-0.094920698	-0.074681077	-0.295807282	0.114627967	-0.036244317	0.168599604	-0.204269072	-0.380096442	-0.102986962	-0.256674241	0.190205421
STMCV88	-0.210296475	-0.210660824	-0.31165851	-0.317628399	-0.126615625	-0.075580358	-0.068896688	-0.074289722	-0.577116828	0.227673507	-0.160450561	-0.392864002	0.038117263	-0.098823056	-0.45917824	-0.602339464	-0.739522143	-0.603085368	-0.070168073	0.291606208	-0.513687812	-0.002105356	-0.188725838	-0.461436755	-0.024603945	-0.116765402	-0.796474906	-0.160249553	-0.276027844	-0.471469788	-0.53158717	-0.135697521	-0.291221024	-0.246505667	-0.180241996	-0.600114726
STMII07	-0.344651637	-0.379898164	-0.391336937	-0.648402719	-0.532210609	-0.80401988	0.02060127	-0.544490772	-0.563758009	-0.719562761	-0.269206128	-0.100333731	-0.222821731	-0.283086369	0.089985441	0.252326372	-0.221914153	-0.347790158	-0.311256298	-0.637218087	-0.315369898	-0.141916736	0.069092523	-0.035356845	-0.001530711	-0.464852322	0.05551105	-0.375222244	-0.231682962	-0.52084903	-0.220638941	-0.025810929	-0.179176373	0.152244893	-0.011902674	0.219344797
STMGS47	0.106187456	0.133266531	0.065222447	-0.256078021	0.152655749	0.181053568	0.05036947	0.091827578	0.308161044	-0.673447443	-0.283388687	-0.005719314	-0.270407281	-0.043501639	-0.032037476	-0.384784355	-0.111480947	-0.078687297	0.096016903	0.39740896	0.178943002	-0.016678741	0.17493659	0.084027579	-0.100468024	-0.316836049	-0.157898619	-0.05415577	0.222201753	0.097481813	-0.14516726	-0.287067096	-0.337849494	-0.252859185	-0.393131815	-0.073727613
STMDU49	-0.145760108	-0.320100191	-0.21546379	-0.11203504	0.003119342	0.326896791	0.085855608	0.053357518	-0.16056183	0.498135965	0.20201582	-0.01378182	-0.136255295	0.011754321	-0.047202521	0.044629964	0.091289082	0.075790488	0.033019255	0.102440327	-0.00033886	0.190669234	-0.195079164	-0.006717512	-0.185472645	0.038845058	-0.073418292	0.336521335	-0.116104484	-0.033851043	-0.46093342	-0.200903092	-0.254704631	-0.241614194	0.242356081	-0.395220276
STMFB37	0.020346037	-0.131397889	0.070970427	0.412806642	-0.079829024	0.270772732	0.192883179	0.261324515	0.172571226	0.479426546	0.337659558	0.31329779	0.445027349	0.387097958	0.601220383	0.519707042	0.51262384	0.38367813	0.023560071	-0.238742521	-0.077796274	-0.136179798	-0.02035256	0.074571289	-0.300102978	0.044529649	-0.302203935	-0.024780668	-0.087985412	-0.060904119	0.289711147	0.209045729	0.186626969	0.15469775	0.275917892	-0.127950607
STMEP44	0.274519876	-0.127602232	-0.216890269	0.49220536	-0.342982562	-0.240148892	0.039499882	0.189362494	-0.173972867	NA	0.096593086	-0.226251617	NA	0.086852177	0.073282434	0.88644176	0.072756342	-0.201239305	NA	NA	0.282765039	0.067488019	0.105471546	0.011835136	0.038046904	NA	0.095179269	NA	0.121745272	0.113331946	0.237328692	0.042252487	0.213859811	-0.150171647	NA	0.07442852
STMDO65	NA	0.265111721	0.966833136	0.345891338	0.150097771	0.771854051	-0.021105633	0.405023711	NA	1.207181171	NA	1.451245319	0.340075442	0.828750818	NA	0.806862954	1.010888316	NA	-0.271902635	0.051039433	NA	0.150155683	NA	0.815575429	0.174644603	-0.016488123	0.084236537	0.731582988	0.744538814	NA	1.204057686	1.162782932	0.878416302	1.164949406	0.735543519	0.807354922
STMEQ29	0.070684992	0	-0.114986329	0.473279192	0.328749765	0.102886606	0.056559746	0.323827101	0.140314652	1.761124488	1.023578864	0.687870354	1.995766703	2.101861247	1.086226422	1.705948542	1.569831075	1.189262799	0.406799075	0.074901456	-0.0283326	1.086352038	0.233574645	0.097188216	0.7515155	0.00624368	0.629580462	0.264539958	0.121546588	0.286836919	0.598555702	1.228816207	1.241632619	0.887055997	0.85255231	1.586146954
STMCE83	0.301687042	0.328850722	0.687247793	0.690315501	-0.227594737	0.600644123	0.156785199	1.48246787	1.290966392	0.151023002	1.138706271	1.683619554	0.303088575	1.104008926	1.637772238	0.168102266	1.477040812	1.359697138	0.289133442	-0.068360696	-0.644741254	0.33659054	0.219689086	-0.001074633	-0.436352897	0.470396281	0.580235449	0.250737047	1.112938378	1.020362161	1.525761187	0.507825787	1.37800824	0.617406764	1.420662048	1.992194598
STMJJ55	0.01449957	NA	-0.163204835	0.206320015	-0.035439669	0.389042291	0.041852968	-0.266921328	-0.392499962	-0.044680579	0.547798108	0.086935637	NA	-0.262686391	-0.115786311	0.126393996	-0.009590601	-0.237311841	0.23665899	NA	-0.032950422	0.12619276	-0.136935645	-0.018513298	-0.035896657	0.038778328	0.37889469	-0.17701841	0.319310565	-0.193975364	-0.629139101	-0.472935883	0.05294888	-0.143225036	-0.131483925	-0.411742921
STMGS80	-0.120236582	-0.068045387	-0.163732386	0.013175389	0.245356505	-0.302280193	-0.102736016	0.011450021	NA	NA	NA	-0.002787817	0.889317966	0.525147256	-0.082605278	0.382008699	-0.903595516	NA	0.367157349	0.004445905	-0.478255493	-0.262339299	-0.038630248	-0.108808559	-0.185905307	0.538971596	-0.255642679	0.217775793	-0.694586992	-0.22796397	-0.299360338	-0.26101806	0.249462386	-0.068058641	-0.10135452	-0.32447928
STMDW06	-0.005101334	0.129628531	-0.000796409	0.111586836	0.069217043	0.195483096	-0.114071767	0.001403172	0.154868427	0.114858831	-0.11416732	-0.228825161	-0.556980088	-0.347208744	-0.173445239	-0.380420754	-0.364289091	-0.198264591	0.025440293	-0.052759833	0.047433403	-0.079330443	-0.037874399	0.100864244	-0.335582488	-0.318875728	-0.220284329	0.233979007	0.032367595	0.108776346	0.010910486	-0.121336769	-0.054714259	0.008211999	-0.137074852	-0.324331538
STMGA57	0.062329133	-0.132755209	-0.799160356	0.323342799	-0.247160326	-0.636900277	-0.142990553	0.514650279	-1.327478115	0.43150374	0.030864632	-0.632712581	0.145028129	0.694815169	0.107704976	0.040058252	0.302649032	-1.967611608	0.324572816	0.360560754	-0.164918981	0.078284757	-0.086076564	-0.124623875	-0.44759546	0.048730983	0.008669595	-0.806295804	0.531730386	-0.474573263	-0.655947974	-1.234880443	-0.07837535	-0.144694397	0.33787854	0.07521115
STMII23	-0.125530882	-0.036459938	-0.055738786	-1.471564174	0.057743673	-0.134614602	0.051340578	0.001728814	-0.245756414	-0.082131472	-0.174949025	0.065754445	-0.169337704	-0.162075902	-0.068887303	-0.074282882	-0.158452869	-0.003382639	-0.24308854	-0.059668826	-0.119111212	-0.172759374	-0.028123601	0.112784892	0.125973142	-0.124297985	-0.215124421	-0.20100475	-0.0969686	-0.278432571	-0.140203876	-0.001343917	0.01400163	-0.034707735	-0.18957834	-0.244341885
STMEL85	-0.055115958	-0.058403072	-0.109196819	0.400965477	0.118580232	0.352481727	0.151389472	0.153673684	0.289950297	0.886204233	0.890184906	1.006881228	0.758892069	0.686369321	0.722795456	0.74645365	0.828389663	0.788083831	-0.452456087	-0.711518328	-0.847344138	-0.212833865	-0.596808861	-0.413622669	-0.929600337	-0.422390258	-0.173356658	0.261364721	0.144600045	0.222825208	0.55259955	0.211855156	0.068615415	-0.010234467	-0.012536083	0.451948652
STMEG74	-0.267950474	-0.212879562	-0.193853411	0.186332758	-0.032933889	0.018929729	-0.082331404	0.194975765	-0.036697943	0.420697354	0.473237418	0.282793794	-0.075288127	0.579480436	0.217342315	0.810009376	0.610714288	0.599154848	-0.211544559	-0.291630525	-0.059115625	0.120647413	-0.399527835	-0.353264646	0.189094158	-0.007247138	-0.085795891	-0.004673457	0.076578906	-0.308919034	-0.011504806	0.212314648	0.232034773	0.384642869	0.530645579	0.270407281
STMEY42	0.006617879	-0.102233658	NA	NA	0.042041771	-0.597832301	0.082232815	-0.004459648	NA	NA	-0.384822886	-0.028063918	NA	-0.055141554	NA	-0.302927133	-0.510961919	NA	-0.286089642	0.036525876	-0.24181792	NA	0.081196083	-0.183618049	-0.05246742	-0.64620013	NA	-0.214255372	0.064583706	-0.008478154	0.314022897	0.161319983	0.060423196	NA	0.285157217	-0.012401466
STMCO26	-0.00863461	-0.40134151	-0.293583469	0.116368645	-0.157091553	-0.083132458	-0.135257085	0.447973903	-0.125987937	-0.000865704	-0.20928108	0.349212863	0.247962074	0.318858233	0.461274947	-0.008348953	0.042934578	-0.57656658	0.074551912	0.020097569	-0.030806047	0.451106754	0.426525716	0.23901654	-0.383921914	0.209415765	-0.095868546	-0.119914754	0.008780886	0.189442	0.124942867	0.450589742	0.471385889	-0.682548466	-0.095957767	-0.330307761
STMIR13	0.214970153	0.189201178	-0.216083774	0.045630408	0.141631409	-0.677103262	0.106487282	0.229952862	-0.304107029	-0.82109176	0.052219536	-0.309112445	-0.629969854	-0.479439612	-0.067411342	0.473976572	0.392639991	-0.837939596	0.317080673	0.232452604	-0.163931876	-0.512542562	0.503939075	-0.030583173	0.040266475	0.395786357	0.374090566	-0.412466258	1.40102273	-0.383671203	-0.270906603	0.272057897	-0.616837155	0.148475437	0.998332251	-0.507829171
STMCL31	0.467708721	-0.192645078	-0.119312359	0.387842572	0.341201618	-0.313695002	-0.081274651	-0.340075442	0.16878408	0.532625463	0.002217825	-0.114378021	NA	1.238191545	0.707088298	1.513806258	0.820328454	0.30954437	0.685937498	-0.211753901	0.090068613	0.582884331	0.426092688	0.094927219	0.367881434	0.258556301	0.39273072	0.181578498	0.670971745	0.085645027	0.448663892	1.058803093	0.8681029	0.134485332	0.312258902	0.298984846
STMDP93	0.175424799	0.072796379	0.258065333	0.399106588	0.341725096	0.080053252	0.24346978	-0.267792887	0.116866021	-0.505179008	-0.21210716	-0.073485408	0.122199175	-0.32758033	0.265936146	0.468579901	-0.205152517	-0.229034808	-0.244454393	-0.167199495	-0.266514975	-0.310732522	-0.031002649	-0.091530211	-0.490517023	-0.523942063	-0.065802058	0.196737833	1.028466655	0.239085924	0.444647893	0.026472211	-0.126105485	0.509107555	0.216025855	-0.001980636
STMGU57	0.06667104	0.226512577	0.30679857	-0.113506222	-0.011448204	0.235234874	-0.087684891	0.126578633	0.074111868	-0.040819558	-0.298990575	-0.158877799	-0.463282701	-0.566543516	-0.408438767	-0.46443332	-0.344411269	-0.136412074	-0.160538359	0.12531354	0.276460599	-0.012110474	-0.075028661	0.03818897	-0.321503502	-0.169452064	0.047255073	0.040144355	-0.247012388	-0.082091198	-0.133875303	-0.394340555	-0.319012454	-0.447889997	-0.149465542	-0.225138924
STMGR66	NA	-0.055997781	-0.076257732	NA	0.533701485	NA	-0.148863386	-0.053111336	NA	-0.415037499	NA	0.427171255	NA	-0.225972312	NA	-0.560786661	-0.426904087	NA	NA	NA	NA	NA	0.058245141	NA	0.216353505	-0.555337332	NA	-0.084474568	NA	NA	0.626696259	-0.148191479	-0.072385925	NA	-0.024247546	NA
STMGG63	-0.182864057	-0.212637854	NA	-0.46901512	-0.28113002	NA	0.218423519	0.116863758	NA	-0.258678627	-0.211504105	-0.073842729	1.413605544	0.090433466	-0.754601735	-0.189119766	NA	NA	-0.03562391	-0.113859434	NA	NA	-0.15092404	-0.106915204	NA	0.73182511	NA	NA	NA	-0.37418137	NA	-0.513375418	NA	-0.001472889	0.068587085	-0.383128251
STMHX33	-0.085333933	0.052962766	0.21928059	0.006551335	-0.25883126	0.051074185	-0.116743687	0.193674227	0.168060354	0.10041494	0.608237012	0.421956913	-0.20029865	0.175487957	0.346473986	0.548316904	0.664995548	0.453818098	-0.189547049	-0.436896933	-0.192587332	-0.385521602	-0.340258495	0.077079492	-0.374880925	-0.379821775	0.014600454	0.131963028	-0.214673057	0.118319967	0.046236895	-0.203073278	0.227372538	-0.213964124	0.02846428	0.230668364
STMIY34	NA	1.045954633	NA	NA	1.071317405	NA	-0.139315576	-0.096676019	NA	-1.09866983	NA	-0.087907089	0.102146887	0.176525413	-0.100277228	0.659623506	-0.027645302	-0.57718515	NA	0.165059246	NA	-0.219285173	-0.035845199	NA	-0.205557982	-0.550141139	NA	-0.014292088	0.431525622	NA	NA	0.310929096	-0.082788599	0.176746267	0.108706259	-0.278374952
STMID05	0.057727528	0.011479008	-0.200628849	-0.45918827	-0.169340153	-0.418032863	0.009000521	-0.321502333	-0.25206036	0.163386392	-0.055410329	-0.208621108	-0.702966084	-0.413844696	-0.524355357	0.33250392	-0.231209735	-0.290068766	0.154281671	0.192272433	0.045318832	-0.131963275	0.088330469	-0.065565171	0.129762788	-0.120597289	0.173759751	-0.435734607	-0.41631743	-0.505968154	-0.719919342	-0.722255734	-0.501030381	-0.478247883	-0.612326641	-0.531761106
STMJG15	-0.131168958	0.371132093	-0.115477217	-0.177201461	-0.160572372	0.169925001	-0.216026773	-0.074254555	-0.344216162	0.06322098	-0.123714049	-0.212200891	NA	0.090197809	-0.021513093	-0.092659135	-0.023327667	0.134404285	0.049203998	-0.190420032	-0.105944376	-1.222799675	-0.208623515	-0.090782268	-0.159847929	-0.054315518	-0.02218262	-0.039577658	-0.088211765	-0.027221469	-0.12631645	-0.028493916	-0.050196405	0.037358251	0.201519184	-0.044342625
STMEV78	0.289735091	-0.008042297	-0.068183572	-0.048730016	-0.108219866	-0.038247469	-0.184848623	-0.035285061	-0.019531368	-0.1207107	-0.386012479	-0.145345337	-0.329263483	-0.438912943	-0.516507199	-0.00986462	-0.163367285	-0.291702773	-0.01085939	0.304400832	0.094352571	0.379758012	0.12498288	-0.119061387	0.076934735	-0.271038519	-0.067492196	-0.097995978	-0.187521961	-0.141004094	-0.045700044	-0.056998752	-0.032072009	-0.254719138	-0.278280995	-0.056197195
STMGY71	-0.110428618	-0.412550808	-0.286413565	0.069880023	-0.108961809	0.216588029	0.062053942	-0.008569838	-0.031693549	0.336422965	0.16906863	-0.016206585	-0.004787709	0.190177796	0.030159241	-0.06031098	-0.230974562	0.055046886	0.021615233	-0.034944888	-0.040071185	0.363879459	0.114802754	0.069708972	0.235512348	-0.137265475	0.136070815	0.034905615	-0.068559657	0.050765808	0.118619177	0.082221088	0.02453235	0.015956237	0.047626635	0.121034396
STMGT13	-0.15461649	-0.036345559	-0.012981796	-0.074878667	-0.111434356	0.055330822	-0.174013745	-0.104775	-0.011823921	-0.035857927	-0.072790267	0.257628823	0.157528203	0.163940738	0.064761179	-0.018063099	0.290452075	0.140599912	0.035641583	0.123965873	0.070644368	0.072953105	0.12782885	0.276333498	0.372108594	-0.050796758	0.133171654	-0.062802051	0.030348294	0.103472501	-0.147013989	0.131075772	0.014462925	0.107457647	0.379445357	0.238921406
STMIL64	-0.317069121	-0.308264932	-0.448972256	-0.296635809	-0.198037151	-0.510888126	-0.347127846	-0.418501355	NA	-0.619232403	-0.24916711	-0.40864653	-0.109948467	-0.547246212	-0.475835951	-0.307601313	-0.208708837	-0.465663572	-0.509307525	-0.512178658	-0.710748817	-0.249205252	-0.228896693	-0.548707833	-0.370538039	-0.585874733	0.121865545	-0.164679846	-0.147852033	-0.479300724	NA	-0.475895847	-0.352581671	-0.638866689	-0.094443204	0.035653755
STMDV94	-0.085406642	0.080498749	-0.258469372	-0.247899212	-0.281946973	-0.38810982	0.024708987	-0.30443421	-0.341427335	1.044690339	0.358969003	0.391447543	0.434005217	-0.018815107	-0.348566602	0.462256501	0.281971867	0.198950775	-0.570044367	-0.404121243	-0.573152278	-0.71134806	-0.351517257	-0.763737908	-0.385094827	-0.713919664	-0.766018683	-0.166971684	-0.669327401	-0.225772179	-0.298316288	-0.853846243	-0.448271126	-0.584314369	-0.332972962	-0.180457734
STMHK85	0.118341144	0.294885513	0.21784939	-0.040061231	-0.018823874	-0.159023521	0.107661597	0.099097929	0.096776757	0.099118827	-0.043808442	0.174560893	-0.137241715	0.109777973	0.251323423	-0.210502452	-0.184988381	-0.256480127	-0.096423442	-0.034174601	0.095933982	0.209386437	0.386898622	0.275939522	-0.258036255	0.137897326	-0.127058352	0.016763	0.371255807	0.116800477	0.043392596	-0.290677161	-0.465751103	-0.10524316	-0.31750855	-0.434662321
STMCB92	NA	NA	NA	NA	-0.107298594	NA	NA	NA	NA	NA	NA	NA	NA	1.058083934	-0.249572146	NA	NA	NA	NA	NA	NA	NA	0.295526096	NA	NA	NA	NA	NA	-0.073248982	NA	NA	0.081437816	NA	NA	-0.087462841	NA
STMEM10	-0.081941614	NA	NA	-0.123271375	0.191555017	NA	-0.03507851	-0.179659436	NA	-0.14775362	0	-0.128438415	NA	-0.46154925	0.152198833	0.166480992	-0.306745897	0.02419671	-0.131383608	NA	NA	NA	-0.043068722	NA	-0.1177778	-0.292990548	-0.00308598	0.068459102	-0.328054198	-0.274821702	NA	-0.521676256	-0.054903697	-0.063535657	0.054861935	NA
STMCR77	0.017597434	0.078192872	-0.160710095	-0.005835451	0.01730311	-0.164062165	-0.066515712	-0.026503998	-0.059143269	0.00995836	0.389496698	0.325569296	0.216472263	0.038174985	0.221696755	0.29231564	0.258340019	-0.230555382	-0.052766347	0.183967477	0.227311856	0.058712331	0.30947397	0.186977313	0.271794933	0.287374424	0.0495249	-0.137238347	0.320626946	0.195829891	0.286257778	0.214770549	-0.011103003	0.045935597	0.163048664	-0.090812872
STMHQ28	0.366845608	0.134587976	0.350144003	0.000737763	0.174325763	0.32702309	0.139954126	0.174920183	0.369663247	0.163849796	0.367582883	0.268362712	0.221464345	0.215592221	0.469542965	0.036304383	0.360876928	0.423522652	-0.132987773	-0.077563853	-0.058364163	-0.070364264	-0.124138637	0.092105468	-0.072849224	-0.174388142	-0.181114601	0.230598051	0.28911101	0.406104375	0.382877445	0.102394755	0.180798487	0.291349046	0.031091192	0.173940298
STMCA77	0.220538653	0.252838639	0.203091865	NA	0.481085518	0.716589458	0.360027885	0.316983505	0.134301092	NA	-0.027059012	0.345443025	NA	1.039717632	NA	0.674274782	0.361290527	0.904751685	0.440782912	0.497499659	0.090049605	NA	-0.171930137	NA	-0.209453366	0.03170886	-0.061927749	0.003406601	-0.01346226	0.426352813	0.473931188	0.375638682	NA	0.966934495	0.197446064	NA
